label,scontent
-1,这白金标签更新得太慢了吧？
0,大哥，七点半
0,唐哥。我来帮你选吧
0,唐哥都掉榜了
1,感谢大哥两组鸭零零
-1,别问一点几是谁
0,晚上播，清欢姐
0,tang很久没来了
1,活捉梦哥小兄弟，签名不错哦。
1,输入哥好久不见了
0,为了咱们才封的
0,一点牌面也别给
0,虎牙直播间谁都可以来吧
1,我就看你们热闹
1,确实，粉丝是好粉丝
-1,骂人，我又不少块肉
-1,成熟的会在网络上和别人拌嘴么
0,你不是你是女孩子
0,算了吧。粉丝无错
-1,天天来恶心人
0,还被人拒绝
-1,别说了 难过
-1,有没有封？
-1,堂，封了他
0,有他的聊天记录
0,云海哥今天是火箭到场飞
-1,这是人话吗？最恶心这样的说话
0,好了，都封了，别带节奏
-1,不封7天，明天又来了
-1,你们都是狗吧。架什么大哥
-1,对，其实说拉了的都是狠人，装自大的其实啥几把都不是
0,别太在意马甲
0,认识，你家羊肉太贵了
0,开门还要10分钟 稍等
0,唐哥一个下午都泡在小妹妹直播间
0,把私信关了
1,有口号嘛？等下开门 一支穿云箭千军万马来相见
0,领主来了几个社会人
0,剑皇【却领军人物】
1,光头强 你好久没有爆发了
0,剑皇黄了吗，我不相信
1,万人小骚排，上钟，全套
1,我堂哥在谁敢说剑黄拉？
0,7姐都被架跑了
0,兄弟们  个人战  能帮的可以帮一下啊
1,那个男人他来了
0,倒数3分钟
-1,别理会那些架大哥的，想上就上，有时候被架确实不开心的
1,老三老三我爱你
1,好了？那就赶紧给我燥起来
1,唐哥 猫着呢
1,报告，狗妹咋天吃了十万
1,报告，唐爸今天相亲被拒绝了
0,个人战多久
0,如果我变成回忆
1,啊杜你飘了
0,骚，拉拉星什么时候能出来
0,唐哥，你不在，剑皇了
0,把我房管下了吧
0,轶云海: 无所谓，不用了
1,谁礼随礼随礼
0,把我的下了
1,恭喜云海哥荣升房管，随礼随礼
0,剑士团点一点
0,云海哥拿我试试手
0,骚我升12级了该不该随礼
0,重新进有流畅
0,老骚，记得你大炮哥我吗
1,哈哈这记得
1,骚。我级了。夸夸我。我还能刷
0,狗星微信收了块1被A
0,骚骚，我来了通宵吗
0,微信转红包
0,打电话问问
0,"""是a,因为啥不清楚"""
0,涉黄也不可能a啊
0,真的被举报A了
0,转屏被大哥放祼体
-1,老骚求你看了？
-1,为什么2号到4号做不到做不到，你说什么大话？
-1,带节奏带你妈呢？
-1,天天看着人家时间 几点下播 有意思吗你
0,你看看你们都玩迷糊了，我说的是2号到4号，今天我知道她为什么
-1,不知道他开播的时候声音都不对吗？ 还不让人休息？
-1,少了1个小时，你就开始黑了？
0,叫我们看他今后表现
0,老骚到底咋就没播了
-1,想带节奏没人鸟你尴尬不
-1,牌子也卸了，丢人
-1,别让我看到你
-1,果然这直播间黑屏都比外面有意思
-1,一群小沟巴
0,总会有新大哥、
0,毕竟不是大哥
0,现在上班呢
-1,他么的789天牌子才14
0,我中间大半年没玩
0,走啦，过去溜达溜达
0,德华始终被时光吞噬啊
0,可能把天天玩够了，就退了
1,狗妹声音好听啊
1,狗妹的变声器，
1,劳资也想套女主播
0,小安逸咋睡啊给我我都不睡
0,小苏龙有没有套过女主播
0,骑士时光那个是你吗？
0,小音我看看
-1,这两天加班太多，嗓子拉了
1,大哥大姐们点个订阅呗
0,不是收钱，就是微信图片
0,网页显示正在整改
0,拉拉星成拉拉星了
0,那就是图片的
0,不管了。睡觉睡了。明天来骚这儿看怎么回事。
0,阿星怎么b类了
-1,谁说7天的
-1,是不是你妈凉了
0,我没带子龙牌子
0,阿星没事的
0,我没有牌子 别乱带节奏
-1,换不了，你妈明天出车祸
0,兄弟们睡了
0,散了吧散了吧
0,让他一个人絮叨就是
0,复活你后天都爆率了，还装子龙家的
0,啥事没有
0,下播了，江哥
0,虎牙现在太严了
0,阿星干啥被A了？
-1,退就退好像很不开心
0,who 哥
-1,我也玩累了
-1,虎牙我也玩累了
-1,最近看电视剧越觉得直播没意思
0,麻杂年度又不会上。
0,感觉没意思的，可以一个星期以后在看或者一个月
0,你想干就干呗，反正是你的钱
1,干嘛咋我们是认真的
1,栗源。我能把你套飞起来
-1,他掏出来比你大，小光
0,头像是女的就说明他是女的了？
0,我以前玩游戏骗人家装备就装女的
0,安静聊天也行了
0,去市里逛逛
0,能不能看看狗妹？
0,不行，就休息两天
0,骏哥，难啊
0,给妹妹去刷点啊
0,今晚继续现在休息吧
0,狗妹儿直播间多少
1,晚安养好身体
0,10221941  狗妹直播间
0,去看狗妹吧
0,从10点半带到现在
0,痔疮疼，嗓子疼不舒服下播了
0,痔疮疼起来坐立不安
-1,你算什么东西，在这带节奏？
-1,场控比老骚跑得还快呀
-1,都说了 病了    犯痔疮    非要一人问一遍？
-1,说的不就是，大家都知道老骚病了，提前下播，看看这节奏
-1,跟本没节奏，别乱说
1,谁离俊哥家比较近，看你们了
0,睡觉了
0,我目睡觉了88
0,痔疮就靠离俊哥家比较近的人了
-1,禁言怎么了。不舒服就不好看，套
0,怎么不播了
-1,房管禁言用你们管？
-1,将心比心你在俊哥这说别的主播有礼貌吗
